"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I want to be able to use the calculator to add two integer numbers","addition of two digits natural numbers","SUCCESS","2017-05-26T09:48:42.373+02:00","0.0","40.76"
"as a user I want to be able to divide two integer numbers","division of two negative integers (exact result)","SUCCESS","2017-05-26T09:50:48.312+02:00","0.0","40.39"
"as a user I want to be able to divide two integer numbers","division of two positive integers (exact result)","SUCCESS","2017-05-26T09:50:06.179+02:00","0.0","40.43"
"as a user I want to be able to divide two integer numbers","division of zero by an integer","SUCCESS","2017-05-26T09:53:03.697+02:00","0.0","42.12"
"as a user I want to be able to multiply two integer numbers","multiplication of two negative integers","SUCCESS","2017-05-26T09:55:20.059+02:00","0.0","45.54"
"as a user I want to be able to multiply two integer numbers","multiplication of two positive integers","SUCCESS","2017-05-26T09:53:47.909+02:00","0.0","40.63"
"as a user I want to be able to use the calculator to add two integer numbers","simple addition of single digit natural numbers","SUCCESS","2017-05-26T09:47:31.581+02:00","0.0","67.73"
"as a user I want to be able to subtract two integer numbers","subtraction of two single digit natural numbers with negative result","SUCCESS","2017-05-26T09:56:53.510+02:00","0.0","42.49"
"as a user I want to be able to subtract two integer numbers","subtraction of two single digit natural numbers with positive result","SUCCESS","2017-05-26T09:56:07.708+02:00","0.0","43.86"
